KEY,CHECKCODE
MatRep   1,6
MatRep   2,9
MatRep   3,8
MatRep   4,5
MatRep   5,6
MatRep   6,4
MatRep   7,5
MatRep   8,6
MatRep   9,6
MatRep  10,8
MatRep  11,0
MatRep  12,3
MatRep  13,0
MatRep  14,5
MatRep  15,3
MatRep  16,6
MatRep  17,4
MatRep  18,4
MatRep  19,3
MatRep  20,5
MatRep  21,2
MatRep  22,4
MatRep  23,0
MatRep  24,1
MatRep  25,7
MatRep  26,7
MatRep  27,8
MatRep  28,7
MatRep  29,6
MatRep  30,8
MatRep  31,8
MatRep  32,0
MatRep  33,7
MatRep  34,3
MatRep  35,4
MatRep  36,0
MatRep  37,3
MatRep  38,9
MatRep  39,6
MatRep  40,1
MatRep  41,6
MatRep  42,0
MatRep  43,1
MatRep  44,4
MatRep  45,4
MatRep  46,5
MatRep  47,6
MatRep  48,3
MatRep  49,3
MatRep  50,2
MatRep  51,1
MatRep  52,6
MatRep  53,1
MatRep  54,1
MatRep  55,1
MatRep  56,7
MatRep  57,3
MatRep  58,0
MatRep  59,9
MatRep  60,6
MatRep  61,7
MatRep  62,5
MatRep  63,8
MatRep  64,3
MatRep  65,0
MatRep  66,4
MatRep  67,6
MatRep  68,6
MatRep  69,6
MatRep  70,6
MatRep  71,2
MatRep  72,0
MatRep  73,4
MatRep  74,2
MatRep  75,0
MatRep  76,3
MatRep  77,2
MatRep  78,3
MatRep  79,3
MatRep  80,9
MatRep  81,8
MatRep  82,1
MatRep  83,7
MatRep  84,6
MatRep  85,0
MatRep  86,5
MatRep  87,6
MatRep  88,4
MatRep  89,0
MatRep  90,8
MatRep  91,9
MatRep  92,1
MatRep  93,5
MatRep  94,8
MatRep  95,8
MatRep  96,6
MatRep  97,1
MatRep  98,5
MatRep  99,8
MatRep 100,4
MatRep 101,1
MatRep 102,3
MatRep 103,9
MatRep 104,9
MatRep 105,0
MatRep 106,0
MatRep 107,5
MatRep 108,3
MatRep 109,5
MatRep 110,5
MatRep 111,1
MatRep 112,8
MatRep 113,7
MatRep 114,9
MatRep 115,1
MatRep 116,7
MatRep 117,0
MatRep 118,4
MatRep 119,0
MatRep 120,0
MatRep 121,0
MatRep 122,3
MatRep 123,8
MatRep 124,2
MatRep 125,1
MatRep 126,1
MatRep 127,3
MatRep 128,9
MatRep 129,2
MatRep 130,7
MatRep 131,6
MatRep 132,4
MatRep 133,6
MatRep 134,5
MatRep 135,4
MatRep 136,4
MatRep 137,2
MatRep 138,3
MatRep 139,9
MatRep 140,2
MatRep 141,3
MatRep 142,7
MatRep 143,7
MatRep 144,2
MatRep 145,6
MatRep 146,4
MatRep 147,8
MatRep 148,8
MatRep 149,1
MatRep 150,1
MatRep 151,8
MatRep 152,7
MatRep 153,8
MatRep 154,4
MatRep 155,5
MatRep 156,8
MatRep 157,6
MatRep 158,9
MatRep 159,6
MatRep 160,0
MatRep 161,5
MatRep 162,0
MatRep 163,2
MatRep 164,4
MatRep 165,1
MatRep 166,5
MatRep 167,0
MatRep 168,1
MatRep 169,1
MatRep 170,1
MatRep 171,7
MatRep 172,3
MatRep 173,3
MatRep 174,3
MatRep 175,0
MatRep 176,5
MatRep 177,8
MatRep 178,1
MatRep 179,2
MatRep 180,7
MatRep 181,2
MatRep 182,9
MatRep 183,1
MatRep 184,3
MatRep 185,2
MatRep 186,5
MatRep 187,8
MatRep 188,0
MatRep 189,0
MatRep 190,0
MatRep 191,7
MatRep 192,4
MatRep 193,0
MatRep 194,6
MatRep 195,1
MatRep 196,2
MatRep 197,6
MatRep 198,9
MatRep 199,8
MatRep 200,8
