KEY,CHECKCODE
GnpSubG   1,2
GnpSubG   2,4
GnpSubG   3,4
GnpSubG   4,1
GnpSubG   5,5
GnpSubG   6,2
GnpSubG   7,5
GnpSubG   8,4
GnpSubG   9,5
GnpSubG  10,2
GnpSubG  11,5
GnpSubG  12,5
GnpSubG  13,5
GnpSubG  14,6
GnpSubG  15,2
GnpSubG  16,5
GnpSubG  17,5
GnpSubG  18,2
GnpSubG  19,2
GnpSubG  20,2
GnpSubG  21,4
GnpSubG  22,4
GnpSubG  23,5
GnpSubG  24,5
GnpSubG  25,5
GnpSubG  26,2
GnpSubG  27,5
GnpSubG  28,2
GnpSubG  29,4
GnpSubG  30,5
GnpSubG  31,2
GnpSubG  32,2
GnpSubG  33,4
GnpSubG  34,5
GnpSubG  35,5
GnpSubG  36,0
GnpSubG  37,2
GnpSubG  38,5
GnpSubG  39,6
GnpSubG  40,5
GnpSubG  41,5
GnpSubG  42,4
GnpSubG  43,2
GnpSubG  44,5
GnpSubG  45,5
GnpSubG  46,1
GnpSubG  47,5
GnpSubG  48,5
GnpSubG  49,2
GnpSubG  50,5
GnpSubG  51,2
GnpSubG  52,0
GnpSubG  53,6
GnpSubG  54,6
GnpSubG  55,2
GnpSubG  56,2
GnpSubG  57,2
GnpSubG  58,4
GnpSubG  59,2
GnpSubG  60,5
GnpSubG  61,5
GnpSubG  62,2
GnpSubG  63,0
GnpSubG  64,5
GnpSubG  65,0
GnpSubG  66,3
GnpSubG  67,4
GnpSubG  68,5
GnpSubG  69,4
GnpSubG  70,2
GnpSubG  71,0
GnpSubG  72,6
GnpSubG  73,5
GnpSubG  74,6
GnpSubG  75,5
GnpSubG  76,5
GnpSubG  77,5
GnpSubG  78,2
GnpSubG  79,3
GnpSubG  80,5
GnpSubG  81,5
GnpSubG  82,2
GnpSubG  83,5
GnpSubG  84,5
GnpSubG  85,2
GnpSubG  86,6
GnpSubG  87,2
GnpSubG  88,5
GnpSubG  89,2
GnpSubG  90,2
GnpSubG  91,4
GnpSubG  92,5
GnpSubG  93,5
GnpSubG  94,6
GnpSubG  95,2
GnpSubG  96,5
GnpSubG  97,2
GnpSubG  98,5
GnpSubG  99,5
GnpSubG 100,6
GnpSubG 101,2
GnpSubG 102,1
GnpSubG 103,5
GnpSubG 104,2
GnpSubG 105,7
GnpSubG 106,5
GnpSubG 107,2
GnpSubG 108,2
GnpSubG 109,5
GnpSubG 110,5
GnpSubG 111,2
GnpSubG 112,0
GnpSubG 113,2
GnpSubG 114,3
GnpSubG 115,5
GnpSubG 116,5
GnpSubG 117,2
GnpSubG 118,3
GnpSubG 119,5
GnpSubG 120,2
GnpSubG 121,4
GnpSubG 122,1
GnpSubG 123,3
GnpSubG 124,5
GnpSubG 125,2
GnpSubG 126,2
GnpSubG 127,4
GnpSubG 128,2
GnpSubG 129,5
GnpSubG 130,5
GnpSubG 131,5
GnpSubG 132,5
GnpSubG 133,5
GnpSubG 134,5
GnpSubG 135,5
GnpSubG 136,5
GnpSubG 137,4
GnpSubG 138,6
GnpSubG 139,2
GnpSubG 140,6
GnpSubG 141,4
GnpSubG 142,5
GnpSubG 143,2
GnpSubG 144,5
GnpSubG 145,5
GnpSubG 146,4
GnpSubG 147,6
GnpSubG 148,5
GnpSubG 149,6
GnpSubG 150,5
GnpSubG 151,5
GnpSubG 152,0
GnpSubG 153,0
GnpSubG 154,4
GnpSubG 155,5
GnpSubG 156,5
GnpSubG 157,5
GnpSubG 158,2
GnpSubG 159,5
GnpSubG 160,2
GnpSubG 161,4
GnpSubG 162,4
GnpSubG 163,5
GnpSubG 164,2
GnpSubG 165,4
GnpSubG 166,2
GnpSubG 167,2
GnpSubG 168,2
GnpSubG 169,5
GnpSubG 170,5
GnpSubG 171,5
GnpSubG 172,5
GnpSubG 173,5
GnpSubG 174,2
GnpSubG 175,0
GnpSubG 176,2
GnpSubG 177,2
GnpSubG 178,4
GnpSubG 179,1
GnpSubG 180,2
GnpSubG 181,4
GnpSubG 182,5
GnpSubG 183,2
GnpSubG 184,5
GnpSubG 185,4
GnpSubG 186,5
GnpSubG 187,5
GnpSubG 188,2
GnpSubG 189,5
GnpSubG 190,6
GnpSubG 191,1
GnpSubG 192,5
GnpSubG 193,5
GnpSubG 194,3
GnpSubG 195,0
GnpSubG 196,2
GnpSubG 197,2
GnpSubG 198,3
GnpSubG 199,5
GnpSubG 200,3
