KEY,CHECKCODE
CountIntSol   1,8
CountIntSol   2,2
CountIntSol   3,9
CountIntSol   4,3
CountIntSol   5,9
CountIntSol   6,3
CountIntSol   7,7
CountIntSol   8,9
CountIntSol   9,6
CountIntSol  10,2
CountIntSol  11,2
CountIntSol  12,9
CountIntSol  13,3
CountIntSol  14,2
CountIntSol  15,8
CountIntSol  16,6
CountIntSol  17,9
CountIntSol  18,6
CountIntSol  19,8
CountIntSol  20,1
CountIntSol  21,0
CountIntSol  22,3
CountIntSol  23,6
CountIntSol  24,3
CountIntSol  25,0
CountIntSol  26,7
CountIntSol  27,8
CountIntSol  28,1
CountIntSol  29,2
CountIntSol  30,9
CountIntSol  31,0
CountIntSol  32,1
CountIntSol  33,3
CountIntSol  34,3
CountIntSol  35,9
CountIntSol  36,6
CountIntSol  37,8
CountIntSol  38,2
CountIntSol  39,0
CountIntSol  40,6
CountIntSol  41,3
CountIntSol  42,8
CountIntSol  43,3
CountIntSol  44,8
CountIntSol  45,3
CountIntSol  46,0
CountIntSol  47,6
CountIntSol  48,3
CountIntSol  49,0
CountIntSol  50,8
CountIntSol  51,8
CountIntSol  52,9
CountIntSol  53,6
CountIntSol  54,3
CountIntSol  55,3
CountIntSol  56,6
CountIntSol  57,3
CountIntSol  58,9
CountIntSol  59,2
CountIntSol  60,9
CountIntSol  61,9
CountIntSol  62,6
CountIntSol  63,6
CountIntSol  64,8
CountIntSol  65,7
CountIntSol  66,1
CountIntSol  67,8
CountIntSol  68,8
CountIntSol  69,3
CountIntSol  70,1
CountIntSol  71,9
CountIntSol  72,8
CountIntSol  73,8
CountIntSol  74,3
CountIntSol  75,2
CountIntSol  76,8
CountIntSol  77,8
CountIntSol  78,6
CountIntSol  79,0
CountIntSol  80,9
CountIntSol  81,6
CountIntSol  82,4
CountIntSol  83,4
CountIntSol  84,9
CountIntSol  85,2
CountIntSol  86,3
CountIntSol  87,8
CountIntSol  88,9
CountIntSol  89,0
CountIntSol  90,8
CountIntSol  91,2
CountIntSol  92,3
CountIntSol  93,3
CountIntSol  94,3
CountIntSol  95,9
CountIntSol  96,2
CountIntSol  97,9
CountIntSol  98,3
CountIntSol  99,4
CountIntSol 100,2
CountIntSol 101,9
CountIntSol 102,3
CountIntSol 103,8
CountIntSol 104,6
CountIntSol 105,9
CountIntSol 106,8
CountIntSol 107,3
CountIntSol 108,3
CountIntSol 109,8
CountIntSol 110,8
CountIntSol 111,2
CountIntSol 112,8
CountIntSol 113,3
CountIntSol 114,9
CountIntSol 115,7
CountIntSol 116,9
CountIntSol 117,6
CountIntSol 118,3
CountIntSol 119,2
CountIntSol 120,7
CountIntSol 121,1
CountIntSol 122,8
CountIntSol 123,3
CountIntSol 124,2
CountIntSol 125,6
CountIntSol 126,8
CountIntSol 127,8
CountIntSol 128,9
CountIntSol 129,9
CountIntSol 130,9
CountIntSol 131,3
CountIntSol 132,7
CountIntSol 133,1
CountIntSol 134,9
CountIntSol 135,9
CountIntSol 136,3
CountIntSol 137,9
CountIntSol 138,3
CountIntSol 139,1
CountIntSol 140,8
CountIntSol 141,7
CountIntSol 142,2
CountIntSol 143,9
CountIntSol 144,8
CountIntSol 145,2
CountIntSol 146,8
CountIntSol 147,8
CountIntSol 148,4
CountIntSol 149,0
CountIntSol 150,3
CountIntSol 151,2
CountIntSol 152,8
CountIntSol 153,2
CountIntSol 154,9
CountIntSol 155,7
CountIntSol 156,2
CountIntSol 157,4
CountIntSol 158,8
CountIntSol 159,8
CountIntSol 160,2
CountIntSol 161,9
CountIntSol 162,8
CountIntSol 163,6
CountIntSol 164,8
CountIntSol 165,9
CountIntSol 166,9
CountIntSol 167,3
CountIntSol 168,6
CountIntSol 169,2
CountIntSol 170,3
CountIntSol 171,2
CountIntSol 172,7
CountIntSol 173,8
CountIntSol 174,9
CountIntSol 175,9
CountIntSol 176,8
CountIntSol 177,9
CountIntSol 178,2
CountIntSol 179,2
CountIntSol 180,2
CountIntSol 181,0
CountIntSol 182,3
CountIntSol 183,8
CountIntSol 184,9
CountIntSol 185,2
CountIntSol 186,3
CountIntSol 187,3
CountIntSol 188,9
CountIntSol 189,2
CountIntSol 190,4
CountIntSol 191,1
CountIntSol 192,7
CountIntSol 193,8
CountIntSol 194,8
CountIntSol 195,8
CountIntSol 196,9
CountIntSol 197,8
CountIntSol 198,9
CountIntSol 199,3
CountIntSol 200,3
