KEY,CHECKCODE
ColBasis   1,5
ColBasis   2,0
ColBasis   3,3
ColBasis   4,4
ColBasis   5,3
ColBasis   6,2
ColBasis   7,1
ColBasis   8,3
ColBasis   9,5
ColBasis  10,9
ColBasis  11,9
ColBasis  12,0
ColBasis  13,6
ColBasis  14,5
ColBasis  15,5
ColBasis  16,0
ColBasis  17,1
ColBasis  18,8
ColBasis  19,1
ColBasis  20,4
ColBasis  21,8
ColBasis  22,8
ColBasis  23,5
ColBasis  24,8
ColBasis  25,0
ColBasis  26,8
ColBasis  27,8
ColBasis  28,8
ColBasis  29,4
ColBasis  30,8
ColBasis  31,8
ColBasis  32,5
ColBasis  33,7
ColBasis  34,6
ColBasis  35,6
ColBasis  36,0
ColBasis  37,4
ColBasis  38,5
ColBasis  39,9
ColBasis  40,0
ColBasis  41,4
ColBasis  42,5
ColBasis  43,0
ColBasis  44,0
ColBasis  45,2
ColBasis  46,5
ColBasis  47,4
ColBasis  48,8
ColBasis  49,7
ColBasis  50,7
ColBasis  51,4
ColBasis  52,0
ColBasis  53,6
ColBasis  54,0
ColBasis  55,1
ColBasis  56,6
ColBasis  57,7
ColBasis  58,0
ColBasis  59,5
ColBasis  60,5
ColBasis  61,9
ColBasis  62,0
ColBasis  63,0
ColBasis  64,3
ColBasis  65,6
ColBasis  66,4
ColBasis  67,8
ColBasis  68,0
ColBasis  69,8
ColBasis  70,6
ColBasis  71,0
ColBasis  72,3
ColBasis  73,0
ColBasis  74,0
ColBasis  75,3
ColBasis  76,0
ColBasis  77,4
ColBasis  78,2
ColBasis  79,2
ColBasis  80,5
ColBasis  81,6
ColBasis  82,5
ColBasis  83,4
ColBasis  84,5
ColBasis  85,9
ColBasis  86,5
ColBasis  87,3
ColBasis  88,7
ColBasis  89,6
ColBasis  90,8
ColBasis  91,0
ColBasis  92,3
ColBasis  93,0
ColBasis  94,6
ColBasis  95,0
ColBasis  96,4
ColBasis  97,7
ColBasis  98,4
ColBasis  99,7
ColBasis 100,4
ColBasis 101,8
ColBasis 102,4
ColBasis 103,0
ColBasis 104,0
ColBasis 105,8
ColBasis 106,8
ColBasis 107,8
ColBasis 108,0
ColBasis 109,4
ColBasis 110,1
ColBasis 111,5
ColBasis 112,2
ColBasis 113,4
ColBasis 114,7
ColBasis 115,1
ColBasis 116,6
ColBasis 117,8
ColBasis 118,8
ColBasis 119,2
ColBasis 120,9
ColBasis 121,9
ColBasis 122,6
ColBasis 123,5
ColBasis 124,8
ColBasis 125,5
ColBasis 126,7
ColBasis 127,4
ColBasis 128,4
ColBasis 129,1
ColBasis 130,4
ColBasis 131,6
ColBasis 132,4
ColBasis 133,0
ColBasis 134,4
ColBasis 135,3
ColBasis 136,0
ColBasis 137,7
ColBasis 138,5
ColBasis 139,4
ColBasis 140,8
ColBasis 141,0
ColBasis 142,2
ColBasis 143,4
ColBasis 144,0
ColBasis 145,7
ColBasis 146,4
ColBasis 147,8
ColBasis 148,4
ColBasis 149,4
ColBasis 150,8
ColBasis 151,2
ColBasis 152,3
ColBasis 153,0
ColBasis 154,0
ColBasis 155,0
ColBasis 156,2
ColBasis 157,0
ColBasis 158,5
ColBasis 159,6
ColBasis 160,4
ColBasis 161,4
ColBasis 162,1
ColBasis 163,0
ColBasis 164,8
ColBasis 165,0
ColBasis 166,7
ColBasis 167,5
ColBasis 168,0
ColBasis 169,8
ColBasis 170,5
ColBasis 171,2
ColBasis 172,0
ColBasis 173,6
ColBasis 174,7
ColBasis 175,0
ColBasis 176,3
ColBasis 177,0
ColBasis 178,5
ColBasis 179,0
ColBasis 180,6
ColBasis 181,4
ColBasis 182,8
ColBasis 183,3
ColBasis 184,6
ColBasis 185,3
ColBasis 186,8
ColBasis 187,0
ColBasis 188,2
ColBasis 189,0
ColBasis 190,0
ColBasis 191,4
ColBasis 192,4
ColBasis 193,2
ColBasis 194,5
ColBasis 195,0
ColBasis 196,8
ColBasis 197,2
ColBasis 198,5
ColBasis 199,5
ColBasis 200,7
