KEY,CHECKCODE
AbsSumEigs   1,2
AbsSumEigs   2,3
AbsSumEigs   3,1
AbsSumEigs   4,7
AbsSumEigs   5,7
AbsSumEigs   6,2
AbsSumEigs   7,6
AbsSumEigs   8,5
AbsSumEigs   9,9
AbsSumEigs  10,2
AbsSumEigs  11,0
AbsSumEigs  12,8
AbsSumEigs  13,5
AbsSumEigs  14,3
AbsSumEigs  15,1
AbsSumEigs  16,7
AbsSumEigs  17,7
AbsSumEigs  18,0
AbsSumEigs  19,3
AbsSumEigs  20,8
AbsSumEigs  21,7
AbsSumEigs  22,0
AbsSumEigs  23,0
AbsSumEigs  24,0
AbsSumEigs  25,9
AbsSumEigs  26,6
AbsSumEigs  27,5
AbsSumEigs  28,1
AbsSumEigs  29,9
AbsSumEigs  30,0
AbsSumEigs  31,2
AbsSumEigs  32,9
AbsSumEigs  33,0
AbsSumEigs  34,0
AbsSumEigs  35,8
AbsSumEigs  36,1
AbsSumEigs  37,4
AbsSumEigs  38,8
AbsSumEigs  39,5
AbsSumEigs  40,2
AbsSumEigs  41,5
AbsSumEigs  42,0
AbsSumEigs  43,9
AbsSumEigs  44,0
AbsSumEigs  45,6
AbsSumEigs  46,1
AbsSumEigs  47,7
AbsSumEigs  48,8
AbsSumEigs  49,7
AbsSumEigs  50,5
AbsSumEigs  51,0
AbsSumEigs  52,0
AbsSumEigs  53,0
AbsSumEigs  54,0
AbsSumEigs  55,9
AbsSumEigs  56,2
AbsSumEigs  57,1
AbsSumEigs  58,9
AbsSumEigs  59,9
AbsSumEigs  60,7
AbsSumEigs  61,0
AbsSumEigs  62,2
AbsSumEigs  63,7
AbsSumEigs  64,2
AbsSumEigs  65,4
AbsSumEigs  66,7
AbsSumEigs  67,0
AbsSumEigs  68,1
AbsSumEigs  69,2
AbsSumEigs  70,8
AbsSumEigs  71,0
AbsSumEigs  72,2
AbsSumEigs  73,9
AbsSumEigs  74,3
AbsSumEigs  75,0
AbsSumEigs  76,6
AbsSumEigs  77,4
AbsSumEigs  78,7
AbsSumEigs  79,7
AbsSumEigs  80,7
AbsSumEigs  81,8
AbsSumEigs  82,0
AbsSumEigs  83,0
AbsSumEigs  84,9
AbsSumEigs  85,1
AbsSumEigs  86,0
AbsSumEigs  87,9
AbsSumEigs  88,5
AbsSumEigs  89,0
AbsSumEigs  90,9
AbsSumEigs  91,2
AbsSumEigs  92,1
AbsSumEigs  93,9
AbsSumEigs  94,1
AbsSumEigs  95,2
AbsSumEigs  96,4
AbsSumEigs  97,5
AbsSumEigs  98,1
AbsSumEigs  99,6
AbsSumEigs 100,9
AbsSumEigs 101,1
AbsSumEigs 102,9
AbsSumEigs 103,9
AbsSumEigs 104,9
AbsSumEigs 105,1
AbsSumEigs 106,2
AbsSumEigs 107,2
AbsSumEigs 108,9
AbsSumEigs 109,6
AbsSumEigs 110,9
AbsSumEigs 111,6
AbsSumEigs 112,3
AbsSumEigs 113,1
AbsSumEigs 114,1
AbsSumEigs 115,7
AbsSumEigs 116,0
AbsSumEigs 117,8
AbsSumEigs 118,8
AbsSumEigs 119,8
AbsSumEigs 120,8
AbsSumEigs 121,1
AbsSumEigs 122,1
AbsSumEigs 123,0
AbsSumEigs 124,0
AbsSumEigs 125,9
AbsSumEigs 126,5
AbsSumEigs 127,5
AbsSumEigs 128,8
AbsSumEigs 129,0
AbsSumEigs 130,7
AbsSumEigs 131,6
AbsSumEigs 132,7
AbsSumEigs 133,7
AbsSumEigs 134,9
AbsSumEigs 135,7
AbsSumEigs 136,1
AbsSumEigs 137,9
AbsSumEigs 138,7
AbsSumEigs 139,4
AbsSumEigs 140,0
AbsSumEigs 141,4
AbsSumEigs 142,1
AbsSumEigs 143,3
AbsSumEigs 144,1
AbsSumEigs 145,1
AbsSumEigs 146,1
AbsSumEigs 147,0
AbsSumEigs 148,9
AbsSumEigs 149,9
AbsSumEigs 150,5
AbsSumEigs 151,5
AbsSumEigs 152,7
AbsSumEigs 153,2
AbsSumEigs 154,7
AbsSumEigs 155,3
AbsSumEigs 156,7
AbsSumEigs 157,0
AbsSumEigs 158,1
AbsSumEigs 159,8
AbsSumEigs 160,9
AbsSumEigs 161,0
AbsSumEigs 162,1
AbsSumEigs 163,2
AbsSumEigs 164,6
AbsSumEigs 165,2
AbsSumEigs 166,0
AbsSumEigs 167,7
AbsSumEigs 168,9
AbsSumEigs 169,0
AbsSumEigs 170,7
AbsSumEigs 171,8
AbsSumEigs 172,5
AbsSumEigs 173,8
AbsSumEigs 174,3
AbsSumEigs 175,0
AbsSumEigs 176,2
AbsSumEigs 177,7
AbsSumEigs 178,1
AbsSumEigs 179,0
AbsSumEigs 180,2
AbsSumEigs 181,4
AbsSumEigs 182,6
AbsSumEigs 183,3
AbsSumEigs 184,8
AbsSumEigs 185,0
AbsSumEigs 186,7
AbsSumEigs 187,9
AbsSumEigs 188,8
AbsSumEigs 189,7
AbsSumEigs 190,8
AbsSumEigs 191,2
AbsSumEigs 192,6
AbsSumEigs 193,0
AbsSumEigs 194,4
AbsSumEigs 195,2
AbsSumEigs 196,1
AbsSumEigs 197,2
AbsSumEigs 198,3
AbsSumEigs 199,4
AbsSumEigs 200,2
