KEY,CHECKCODE
Prufer   1,7
Prufer   2,5
Prufer   3,3
Prufer   4,5
Prufer   5,6
Prufer   6,1
Prufer   7,8
Prufer   8,2
Prufer   9,9
Prufer  10,6
Prufer  11,6
Prufer  12,8
Prufer  13,4
Prufer  14,4
Prufer  15,4
Prufer  16,0
Prufer  17,9
Prufer  18,8
Prufer  19,8
Prufer  20,4
Prufer  21,1
Prufer  22,2
Prufer  23,0
Prufer  24,6
Prufer  25,5
Prufer  26,2
Prufer  27,5
Prufer  28,4
Prufer  29,2
Prufer  30,2
Prufer  31,3
Prufer  32,5
Prufer  33,4
Prufer  34,9
Prufer  35,4
Prufer  36,3
Prufer  37,1
Prufer  38,6
Prufer  39,6
Prufer  40,5
Prufer  41,5
Prufer  42,3
Prufer  43,0
Prufer  44,9
Prufer  45,3
Prufer  46,1
Prufer  47,4
Prufer  48,0
Prufer  49,5
Prufer  50,5
Prufer  51,5
Prufer  52,4
Prufer  53,9
Prufer  54,9
Prufer  55,6
Prufer  56,8
Prufer  57,8
Prufer  58,0
Prufer  59,4
Prufer  60,0
Prufer  61,9
Prufer  62,2
Prufer  63,3
Prufer  64,8
Prufer  65,5
Prufer  66,2
Prufer  67,3
Prufer  68,3
Prufer  69,5
Prufer  70,6
Prufer  71,0
Prufer  72,9
Prufer  73,4
Prufer  74,4
Prufer  75,6
Prufer  76,2
Prufer  77,6
Prufer  78,9
Prufer  79,0
Prufer  80,5
Prufer  81,4
Prufer  82,8
Prufer  83,7
Prufer  84,2
Prufer  85,3
Prufer  86,2
Prufer  87,8
Prufer  88,2
Prufer  89,6
Prufer  90,4
Prufer  91,7
Prufer  92,8
Prufer  93,3
Prufer  94,7
Prufer  95,3
Prufer  96,4
Prufer  97,3
Prufer  98,3
Prufer  99,3
Prufer 100,7
Prufer 101,3
Prufer 102,0
Prufer 103,6
Prufer 104,7
Prufer 105,3
Prufer 106,3
Prufer 107,1
Prufer 108,7
Prufer 109,1
Prufer 110,7
Prufer 111,7
Prufer 112,0
Prufer 113,6
Prufer 114,7
Prufer 115,5
Prufer 116,3
Prufer 117,3
Prufer 118,4
Prufer 119,0
Prufer 120,8
Prufer 121,0
Prufer 122,9
Prufer 123,2
Prufer 124,2
Prufer 125,9
Prufer 126,3
Prufer 127,5
Prufer 128,4
Prufer 129,2
Prufer 130,5
Prufer 131,8
Prufer 132,0
Prufer 133,0
Prufer 134,8
Prufer 135,8
Prufer 136,9
Prufer 137,8
Prufer 138,1
Prufer 139,7
Prufer 140,1
Prufer 141,9
Prufer 142,4
Prufer 143,9
Prufer 144,2
Prufer 145,0
Prufer 146,6
Prufer 147,9
Prufer 148,3
Prufer 149,1
Prufer 150,2
Prufer 151,6
Prufer 152,5
Prufer 153,4
Prufer 154,4
Prufer 155,2
Prufer 156,9
Prufer 157,0
Prufer 158,2
Prufer 159,1
Prufer 160,8
Prufer 161,1
Prufer 162,0
Prufer 163,3
Prufer 164,9
Prufer 165,3
Prufer 166,8
Prufer 167,8
Prufer 168,1
Prufer 169,8
Prufer 170,7
Prufer 171,7
Prufer 172,2
Prufer 173,8
Prufer 174,3
Prufer 175,4
Prufer 176,0
Prufer 177,3
Prufer 178,0
Prufer 179,3
Prufer 180,8
Prufer 181,9
Prufer 182,6
Prufer 183,9
Prufer 184,5
Prufer 185,5
Prufer 186,6
Prufer 187,6
Prufer 188,3
Prufer 189,6
Prufer 190,2
Prufer 191,6
Prufer 192,5
Prufer 193,7
Prufer 194,9
Prufer 195,6
Prufer 196,2
Prufer 197,4
Prufer 198,1
Prufer 199,7
Prufer 200,1
