KEY,CHECKCODE
FindDet   1,0
FindDet   2,5
FindDet   3,2
FindDet   4,8
FindDet   5,6
FindDet   6,4
FindDet   7,2
FindDet   8,8
FindDet   9,4
FindDet  10,4
FindDet  11,8
FindDet  12,0
FindDet  13,0
FindDet  14,0
FindDet  15,1
FindDet  16,8
FindDet  17,5
FindDet  18,0
FindDet  19,4
FindDet  20,1
FindDet  21,6
FindDet  22,8
FindDet  23,0
FindDet  24,5
FindDet  25,8
FindDet  26,1
FindDet  27,3
FindDet  28,0
FindDet  29,5
FindDet  30,6
FindDet  31,6
FindDet  32,3
FindDet  33,2
FindDet  34,9
FindDet  35,0
FindDet  36,0
FindDet  37,0
FindDet  38,3
FindDet  39,0
FindDet  40,3
FindDet  41,2
FindDet  42,6
FindDet  43,8
FindDet  44,9
FindDet  45,4
FindDet  46,5
FindDet  47,4
FindDet  48,2
FindDet  49,7
FindDet  50,3
FindDet  51,6
FindDet  52,4
FindDet  53,2
FindDet  54,8
FindDet  55,2
FindDet  56,2
FindDet  57,4
FindDet  58,6
FindDet  59,6
FindDet  60,9
FindDet  61,4
FindDet  62,0
FindDet  63,1
FindDet  64,9
FindDet  65,6
FindDet  66,7
FindDet  67,0
FindDet  68,1
FindDet  69,4
FindDet  70,8
FindDet  71,0
FindDet  72,6
FindDet  73,8
FindDet  74,3
FindDet  75,2
FindDet  76,0
FindDet  77,8
FindDet  78,2
FindDet  79,6
FindDet  80,2
FindDet  81,8
FindDet  82,8
FindDet  83,2
FindDet  84,3
FindDet  85,6
FindDet  86,5
FindDet  87,4
FindDet  88,5
FindDet  89,8
FindDet  90,0
FindDet  91,3
FindDet  92,4
FindDet  93,9
FindDet  94,0
FindDet  95,6
FindDet  96,2
FindDet  97,5
FindDet  98,2
FindDet  99,0
FindDet 100,4
FindDet 101,5
FindDet 102,0
FindDet 103,6
FindDet 104,7
FindDet 105,4
FindDet 106,5
FindDet 107,2
FindDet 108,0
FindDet 109,8
FindDet 110,9
FindDet 111,5
FindDet 112,7
FindDet 113,3
FindDet 114,2
FindDet 115,6
FindDet 116,6
FindDet 117,7
FindDet 118,7
FindDet 119,7
FindDet 120,0
FindDet 121,0
FindDet 122,8
FindDet 123,1
FindDet 124,6
FindDet 125,0
FindDet 126,3
FindDet 127,0
FindDet 128,7
FindDet 129,7
FindDet 130,8
FindDet 131,6
FindDet 132,3
FindDet 133,2
FindDet 134,4
FindDet 135,5
FindDet 136,7
FindDet 137,5
FindDet 138,8
FindDet 139,0
FindDet 140,5
FindDet 141,8
FindDet 142,4
FindDet 143,8
FindDet 144,5
FindDet 145,4
FindDet 146,8
FindDet 147,0
FindDet 148,0
FindDet 149,7
FindDet 150,2
FindDet 151,9
FindDet 152,5
FindDet 153,4
FindDet 154,5
FindDet 155,3
FindDet 156,3
FindDet 157,2
FindDet 158,8
FindDet 159,6
FindDet 160,5
FindDet 161,9
FindDet 162,4
FindDet 163,4
FindDet 164,5
FindDet 165,3
FindDet 166,0
FindDet 167,4
FindDet 168,2
FindDet 169,1
FindDet 170,3
FindDet 171,2
FindDet 172,4
FindDet 173,5
FindDet 174,2
FindDet 175,8
FindDet 176,4
FindDet 177,5
FindDet 178,4
FindDet 179,8
FindDet 180,0
FindDet 181,5
FindDet 182,4
FindDet 183,2
FindDet 184,2
FindDet 185,2
FindDet 186,0
FindDet 187,6
FindDet 188,1
FindDet 189,4
FindDet 190,1
FindDet 191,9
FindDet 192,9
FindDet 193,6
FindDet 194,5
FindDet 195,5
FindDet 196,6
FindDet 197,4
FindDet 198,7
FindDet 199,4
FindDet 200,9
