KEY,CHECKCODE
NullBasis   1,9
NullBasis   2,5
NullBasis   3,0
NullBasis   4,3
NullBasis   5,2
NullBasis   6,9
NullBasis   7,5
NullBasis   8,4
NullBasis   9,2
NullBasis  10,0
NullBasis  11,7
NullBasis  12,2
NullBasis  13,2
NullBasis  14,8
NullBasis  15,1
NullBasis  16,0
NullBasis  17,2
NullBasis  18,6
NullBasis  19,8
NullBasis  20,4
NullBasis  21,5
NullBasis  22,9
NullBasis  23,2
NullBasis  24,0
NullBasis  25,6
NullBasis  26,3
NullBasis  27,2
NullBasis  28,1
NullBasis  29,1
NullBasis  30,7
NullBasis  31,8
NullBasis  32,6
NullBasis  33,4
NullBasis  34,7
NullBasis  35,4
NullBasis  36,6
NullBasis  37,7
NullBasis  38,0
NullBasis  39,2
NullBasis  40,7
NullBasis  41,6
NullBasis  42,5
NullBasis  43,4
NullBasis  44,8
NullBasis  45,0
NullBasis  46,6
NullBasis  47,7
NullBasis  48,1
NullBasis  49,5
NullBasis  50,6
NullBasis  51,0
NullBasis  52,6
NullBasis  53,9
NullBasis  54,6
NullBasis  55,8
NullBasis  56,9
NullBasis  57,2
NullBasis  58,3
NullBasis  59,3
NullBasis  60,0
NullBasis  61,0
NullBasis  62,5
NullBasis  63,9
NullBasis  64,5
NullBasis  65,9
NullBasis  66,8
NullBasis  67,9
NullBasis  68,8
NullBasis  69,5
NullBasis  70,0
NullBasis  71,8
NullBasis  72,7
NullBasis  73,5
NullBasis  74,8
NullBasis  75,8
NullBasis  76,2
NullBasis  77,1
NullBasis  78,3
NullBasis  79,5
NullBasis  80,7
NullBasis  81,9
NullBasis  82,0
NullBasis  83,9
NullBasis  84,6
NullBasis  85,7
NullBasis  86,3
NullBasis  87,7
NullBasis  88,4
NullBasis  89,0
NullBasis  90,5
NullBasis  91,9
NullBasis  92,8
NullBasis  93,5
NullBasis  94,5
NullBasis  95,8
NullBasis  96,1
NullBasis  97,7
NullBasis  98,7
NullBasis  99,0
NullBasis 100,2
NullBasis 101,3
NullBasis 102,0
NullBasis 103,3
NullBasis 104,2
NullBasis 105,7
NullBasis 106,6
NullBasis 107,2
NullBasis 108,4
NullBasis 109,7
NullBasis 110,7
NullBasis 111,3
NullBasis 112,6
NullBasis 113,1
NullBasis 114,7
NullBasis 115,2
NullBasis 116,7
NullBasis 117,3
NullBasis 118,6
NullBasis 119,3
NullBasis 120,3
NullBasis 121,2
NullBasis 122,7
NullBasis 123,6
NullBasis 124,8
NullBasis 125,3
NullBasis 126,6
NullBasis 127,1
NullBasis 128,1
NullBasis 129,2
NullBasis 130,0
NullBasis 131,1
NullBasis 132,4
NullBasis 133,1
NullBasis 134,0
NullBasis 135,6
NullBasis 136,8
NullBasis 137,2
NullBasis 138,1
NullBasis 139,3
NullBasis 140,1
NullBasis 141,6
NullBasis 142,6
NullBasis 143,8
NullBasis 144,3
NullBasis 145,4
NullBasis 146,1
NullBasis 147,6
NullBasis 148,6
NullBasis 149,4
NullBasis 150,5
NullBasis 151,0
NullBasis 152,6
NullBasis 153,7
NullBasis 154,7
NullBasis 155,8
NullBasis 156,3
NullBasis 157,3
NullBasis 158,5
NullBasis 159,4
NullBasis 160,7
NullBasis 161,8
NullBasis 162,5
NullBasis 163,7
NullBasis 164,0
NullBasis 165,8
NullBasis 166,6
NullBasis 167,1
NullBasis 168,5
NullBasis 169,0
NullBasis 170,7
NullBasis 171,0
NullBasis 172,4
NullBasis 173,9
NullBasis 174,6
NullBasis 175,3
NullBasis 176,2
NullBasis 177,2
NullBasis 178,3
NullBasis 179,2
NullBasis 180,2
NullBasis 181,6
NullBasis 182,5
NullBasis 183,5
NullBasis 184,6
NullBasis 185,5
NullBasis 186,6
NullBasis 187,9
NullBasis 188,2
NullBasis 189,2
NullBasis 190,4
NullBasis 191,8
NullBasis 192,3
NullBasis 193,9
NullBasis 194,7
NullBasis 195,6
NullBasis 196,6
NullBasis 197,6
NullBasis 198,4
NullBasis 199,7
NullBasis 200,6
