KEY,CHECKCODE
RecRel   1,1
RecRel   2,2
RecRel   3,8
RecRel   4,6
RecRel   5,5
RecRel   6,4
RecRel   7,3
RecRel   8,9
RecRel   9,6
RecRel  10,8
RecRel  11,2
RecRel  12,1
RecRel  13,3
RecRel  14,6
RecRel  15,6
RecRel  16,1
RecRel  17,3
RecRel  18,4
RecRel  19,3
RecRel  20,1
RecRel  21,1
RecRel  22,1
RecRel  23,8
RecRel  24,8
RecRel  25,3
RecRel  26,0
RecRel  27,1
RecRel  28,9
RecRel  29,1
RecRel  30,1
RecRel  31,6
RecRel  32,7
RecRel  33,4
RecRel  34,3
RecRel  35,9
RecRel  36,9
RecRel  37,2
RecRel  38,1
RecRel  39,2
RecRel  40,4
RecRel  41,9
RecRel  42,0
RecRel  43,2
RecRel  44,2
RecRel  45,5
RecRel  46,9
RecRel  47,2
RecRel  48,8
RecRel  49,3
RecRel  50,4
RecRel  51,6
RecRel  52,8
RecRel  53,5
RecRel  54,3
RecRel  55,7
RecRel  56,1
RecRel  57,7
RecRel  58,2
RecRel  59,8
RecRel  60,7
RecRel  61,4
RecRel  62,9
RecRel  63,1
RecRel  64,7
RecRel  65,0
RecRel  66,2
RecRel  67,3
RecRel  68,7
RecRel  69,7
RecRel  70,1
RecRel  71,5
RecRel  72,2
RecRel  73,0
RecRel  74,6
RecRel  75,2
RecRel  76,8
RecRel  77,6
RecRel  78,0
RecRel  79,8
RecRel  80,9
RecRel  81,8
RecRel  82,4
RecRel  83,5
RecRel  84,9
RecRel  85,5
RecRel  86,5
RecRel  87,1
RecRel  88,8
RecRel  89,8
RecRel  90,1
RecRel  91,6
RecRel  92,5
RecRel  93,3
RecRel  94,1
RecRel  95,7
RecRel  96,4
RecRel  97,7
RecRel  98,9
RecRel  99,1
RecRel 100,0
RecRel 101,2
RecRel 102,3
RecRel 103,4
RecRel 104,8
RecRel 105,2
RecRel 106,5
RecRel 107,5
RecRel 108,8
RecRel 109,4
RecRel 110,5
RecRel 111,9
RecRel 112,9
RecRel 113,8
RecRel 114,5
RecRel 115,8
RecRel 116,2
RecRel 117,8
RecRel 118,3
RecRel 119,2
RecRel 120,7
RecRel 121,8
RecRel 122,8
RecRel 123,9
RecRel 124,9
RecRel 125,0
RecRel 126,2
RecRel 127,2
RecRel 128,7
RecRel 129,0
RecRel 130,5
RecRel 131,4
RecRel 132,6
RecRel 133,4
RecRel 134,8
RecRel 135,5
RecRel 136,3
RecRel 137,2
RecRel 138,2
RecRel 139,4
RecRel 140,7
RecRel 141,8
RecRel 142,7
RecRel 143,0
RecRel 144,6
RecRel 145,1
RecRel 146,6
RecRel 147,2
RecRel 148,9
RecRel 149,8
RecRel 150,1
RecRel 151,1
RecRel 152,8
RecRel 153,5
RecRel 154,1
RecRel 155,0
RecRel 156,1
RecRel 157,1
RecRel 158,9
RecRel 159,0
RecRel 160,6
RecRel 161,5
RecRel 162,0
RecRel 163,9
RecRel 164,6
RecRel 165,0
RecRel 166,2
RecRel 167,5
RecRel 168,6
RecRel 169,8
RecRel 170,6
RecRel 171,0
RecRel 172,8
RecRel 173,4
RecRel 174,5
RecRel 175,6
RecRel 176,5
RecRel 177,3
RecRel 178,3
RecRel 179,0
RecRel 180,3
RecRel 181,0
RecRel 182,4
RecRel 183,3
RecRel 184,9
RecRel 185,6
RecRel 186,4
RecRel 187,0
RecRel 188,9
RecRel 189,7
RecRel 190,2
RecRel 191,7
RecRel 192,2
RecRel 193,2
RecRel 194,2
RecRel 195,7
RecRel 196,9
RecRel 197,3
RecRel 198,0
RecRel 199,6
RecRel 200,0
