KEY,CHECKCODE
SolComb   1,6
SolComb   2,6
SolComb   3,9
SolComb   4,4
SolComb   5,0
SolComb   6,3
SolComb   7,9
SolComb   8,6
SolComb   9,6
SolComb  10,7
SolComb  11,9
SolComb  12,9
SolComb  13,5
SolComb  14,8
SolComb  15,7
SolComb  16,7
SolComb  17,0
SolComb  18,2
SolComb  19,1
SolComb  20,0
SolComb  21,5
SolComb  22,4
SolComb  23,2
SolComb  24,4
SolComb  25,6
SolComb  26,1
SolComb  27,0
SolComb  28,8
SolComb  29,0
SolComb  30,7
SolComb  31,8
SolComb  32,8
SolComb  33,5
SolComb  34,4
SolComb  35,9
SolComb  36,0
SolComb  37,1
SolComb  38,0
SolComb  39,7
SolComb  40,5
SolComb  41,9
SolComb  42,2
SolComb  43,4
SolComb  44,6
SolComb  45,2
SolComb  46,6
SolComb  47,2
SolComb  48,5
SolComb  49,5
SolComb  50,5
SolComb  51,3
SolComb  52,6
SolComb  53,4
SolComb  54,1
SolComb  55,1
SolComb  56,4
SolComb  57,4
SolComb  58,6
SolComb  59,6
SolComb  60,3
SolComb  61,1
SolComb  62,7
SolComb  63,2
SolComb  64,2
SolComb  65,0
SolComb  66,9
SolComb  67,0
SolComb  68,4
SolComb  69,3
SolComb  70,3
SolComb  71,6
SolComb  72,9
SolComb  73,6
SolComb  74,2
SolComb  75,0
SolComb  76,4
SolComb  77,9
SolComb  78,8
SolComb  79,1
SolComb  80,5
SolComb  81,4
SolComb  82,5
SolComb  83,7
SolComb  84,4
SolComb  85,1
SolComb  86,6
SolComb  87,0
SolComb  88,8
SolComb  89,9
SolComb  90,6
SolComb  91,0
SolComb  92,0
SolComb  93,8
SolComb  94,9
SolComb  95,6
SolComb  96,3
SolComb  97,3
SolComb  98,2
SolComb  99,0
SolComb 100,5
SolComb 101,7
SolComb 102,5
SolComb 103,5
SolComb 104,6
SolComb 105,6
SolComb 106,0
SolComb 107,7
SolComb 108,9
SolComb 109,8
SolComb 110,3
SolComb 111,0
SolComb 112,8
SolComb 113,7
SolComb 114,6
SolComb 115,7
SolComb 116,6
SolComb 117,9
SolComb 118,4
SolComb 119,5
SolComb 120,6
SolComb 121,0
SolComb 122,0
SolComb 123,3
SolComb 124,4
SolComb 125,0
SolComb 126,0
SolComb 127,1
SolComb 128,2
SolComb 129,0
SolComb 130,8
SolComb 131,5
SolComb 132,6
SolComb 133,3
SolComb 134,8
SolComb 135,9
SolComb 136,7
SolComb 137,5
SolComb 138,2
SolComb 139,6
SolComb 140,8
SolComb 141,4
SolComb 142,9
SolComb 143,1
SolComb 144,4
SolComb 145,6
SolComb 146,4
SolComb 147,6
SolComb 148,3
SolComb 149,1
SolComb 150,7
SolComb 151,5
SolComb 152,2
SolComb 153,1
SolComb 154,9
SolComb 155,7
SolComb 156,6
SolComb 157,5
SolComb 158,2
SolComb 159,4
SolComb 160,9
SolComb 161,7
SolComb 162,2
SolComb 163,6
SolComb 164,8
SolComb 165,2
SolComb 166,9
SolComb 167,9
SolComb 168,2
SolComb 169,9
SolComb 170,8
SolComb 171,7
SolComb 172,0
SolComb 173,3
SolComb 174,5
SolComb 175,4
SolComb 176,1
SolComb 177,5
SolComb 178,8
SolComb 179,0
SolComb 180,2
SolComb 181,7
SolComb 182,6
SolComb 183,8
SolComb 184,0
SolComb 185,5
SolComb 186,7
SolComb 187,2
SolComb 188,0
SolComb 189,3
SolComb 190,5
SolComb 191,7
SolComb 192,2
SolComb 193,7
SolComb 194,1
SolComb 195,2
SolComb 196,0
SolComb 197,1
SolComb 198,9
SolComb 199,2
SolComb 200,5
