1092_2m_3_000.png,4.0,r
1092_2m_3_001.png,2.0,r
1092_2m_3_002.png,9.0,r
1092_2m_3_003.png,8.0,r
1092_2m_3_004.png,3.0,r
1092_2m_3_005.png,4.0,r
1092_2m_3_006.png,6.0,r
1092_2m_3_007.png,4.0,r
1092_2m_3_008.png,5.0,r
1092_2m_3_009.png,2.0,r
1092_2m_3_010.png,6.0,r
1092_2m_3_011.png,4.0,r
1092_2m_3_012.png,3.0,r
1092_2m_3_013.png,2.0,r
1092_2m_3_014.png,1.0,r
1092_2m_3_015.png,7.0,r
1092_2m_3_016.png,3.0,r
1092_2m_3_017.png,0.0,r
1092_2m_3_018.png,5.0,r
1092_2m_3_019.png,8.0,r
1092_2m_3_020.png,0.0,r
1092_2m_3_021.png,8.0,r
1092_2m_3_022.png,7.0,r
